city,country,population,# of Bars,# of parks,# of galleries,# of gyms,# of bookstores,# of fast food restaurants
Eau Claire,US,166178,117,8,5,14,6,78
Kahului,US,164771,117,133,106,115,13,130
San Diego,US,3317259,1700,846,386,2300,307,2500
Bay City,US,105209,119,14,10,30,10,183
Lubbock,US,314167,94,13,14,43,10,219
San Jose,US,1991233,875,940,251,2000,264,2000
Santa Maria,US,445908,173,123,44,159,36,297
Spokane,US,553915,260,58,23,109,22,295
Springfield,US,210256,122,21,10,55,18,232
Blacksburg,US,181407,42,7,11,20,7,130
Decatur,US,152077,1400,413,263,1300,194,2800
Punta Gorda,US,176234,236,61,38,91,20,296
Wheeling,US,142933,2800,975,593,2300,430,4000
El Paso,US,843018,280,63,12,124,24,451
Hagerstown,US,261805,186,57,22,89,36,326
Prescott,US,225038,59,24,39,36,18,91
Seattle,US,3808184,1700,884,353,1600,325,2000
Sebastian,US,150236,189,71,27,84,15,214
Waco,US,263878,73,13,7,30,10,184
Allentown,US,831770,387,65,40,208,43,399
Fort Collins,US,340447,201,52,47,154,36,285
McAllen,US,853003,120,13,3,51,10,274
Springfield,US,210256,122,21,10,55,18,232
Binghamton,US,243328,117,9,13,29,10,102
Cleveland,US,2055254,996,195,108,429,86,1000
Green Bay,US,318010,239,20,7,57,16,155
Johnson City,US,200977,68,25,8,27,15,231
New Bern,US,126088,55,10,11,22,8,119
Pittsfield,US,126594,97,41,37,38,20,54
Seattle,US,3808184,1700,884,353,1600,325,2000
Grants Pass,US,85644,49,33,9,17,10,65
Harrisonburg,US,131581,51,24,16,29,13,110
Hartford,US,1019846,492,213,70,422,68,681
Medford,US,215751,113,48,34,63,28,139
Elgin,US,634927,886,394,108,969,152,1800
Wichita,US,643764,160,17,17,60,22,367
Minneapolis,US,3555186,1000,300,154,755,148,1400
Morgantown,US,138954,104,16,5,25,12,144
Olympia,US,274020,174,125,27,106,32,276
Fargo,US,234910,103,3,9,30,9,115
Flagstaff,US,140312,90,59,81,71,21,122
Grand Rapids,US,1048249,266,41,27,130,26,365
Albany,US,152566,268,52,37,163,45,323
College Station,US,252572,91,39,14,40,9,192
Dubuque,US,97625,101,13,11,16,9,57
Gettysburg,US,102165,84,36,16,40,13,159
Madison,US,647587,407,149,40,197,47,310
Mankato,US,99481,44,5,2,12,3,42
Santa Rosa,US,502249,324,206,166,414,77,376
Warren,US,2555140,1100,207,138,644,144,1800
Bellingham,US,215331,274,86,47,174,50,299
Boston,US,1994514,1600,562,347,1900,308,1500
Brownsville,US,423865,77,27,12,25,4,154
Cedar Rapids,US,267187,224,47,21,89,24,201
Eugene,US,367343,171,71,17,111,37,222
Janesville,US,161430,186,29,7,48,9,160
Longview,US,104085,27,6,0,19,1,133
Norwich,US,159068,233,84,29,122,28,206
Anaheim,US,3179276,2500,1700,858,4600,714,7400
Billings,US,170245,82,10,9,29,9,81
Carson City,US,54605,320,205,63,217,35,300
Chico,US,224973,71,25,14,76,18,118
Gainesville,US,196154,110,62,14,74,17,210
Kennewick,US,285194,81,31,7,58,19,149
Michigan City,US,110541,121,42,15,55,8,206
Santa Cruz,US,274494,467,482,155,979,145,900
Sioux City,US,168846,52,5,2,13,4,83
Appleton,US,234069,298,20,14,76,22,208
El Centro,US,180066,57,6,0,18,5,82
Farmington,US,116108,839,250,143,588,132,1000
Owensboro,US,117893,31,8,3,14,6,81
Portland,US,2435620,1500,556,250,1000,211,1400
Sheboygan,US,115401,143,27,10,26,5,78
Weirton,US,119362,173,20,9,32,10,181
Bloomington,US,166354,84,55,22,43,17,120
Glens Falls,US,125674,151,25,16,57,14,102
Lewiston,US,62714,91,48,9,29,15,64
Bridgeport,US,935988,700,193,117,679,77,814
Lancaster,US,538376,241,70,40,117,35,262
Logan,US,135889,14,11,8,16,10,92
Portland,US,2435620,1500,556,250,1000,211,1400
Greeley,US,291675,209,36,42,150,35,294
Ogden,US,653748,71,58,14,103,23,344
San Luis Obispo,US,281827,190,154,62,171,39,315
Utica,US,292919,97,7,6,18,6,66
Worcester,US,861261,357,79,46,306,52,380
Charlottesville,US,230398,101,29,25,65,18,138
Santa Fe,US,148925,88,41,184,73,32,97
Milwaukee,US,1577025,985,219,94,354,75,753
Grand Island,US,85552,48,7,0,9,2,60
Harrisonburg,US,131581,39,20,11,24,8,97
State College,US,161409,82,29,9,30,11,80
Bend,US,180071,149,86,36,92,21,125
Corvallis,US,88515,150,43,13,83,15,177
Duluth,US,279220,102,21,11,17,10,74
San Rafael,US,261129,2000,1200,987,3100,470,2000
Ames,US,97202,87,47,5,31,11,113
Fond du Lac,US,101860,159,23,7,26,6,98
Grand Forks,US,101537,34,0,0,7,4,44
Wenatchee,US,117637,64,22,11,20,8,59
Altoona,US,124942,58,16,4,7,2,53
Provo,US,599314,51,108,22,212,41,575
Idaho Falls,US,141859,41,6,4,18,2,113
