,City,Country,Population,Bars,Parks,Galleries,Gyms,Bookstores,Fast Food
70,Trenton,US,370221,17.25996094224801,4.997015296268985,2.674078455841241,18.394418468968535,2.8091329233079705,24.147738783051203
71,Camden,US,1246564,0.3369261425807259,0.1203307652074021,0.15241896926270934,0.08022051013826806,0.15241896926270934,0.17648512230418975
72,Clarksville,US,285097,1.7537890612668672,0.6664398432814095,0.21045468735202405,0.9821218743094456,0.2806062498026987,6.313640620560721
73,Dothan,US,148284,2.292897413072213,0.40462895524803755,0.13487631841601253,0.8766960697040814,0.20231447762401877,6.878692239216638
74,Oklahoma City,US,1372721,2.8629269895339258,0.5973537230070787,0.5317905095063017,1.7993459705213224,0.40794888400483414,6.1410876645727726
75,Redding,US,178755,3.4124919582669015,1.7901597158121452,0.3356549467147772,2.40552711812257,0.8391373667869431,6.992811389891192
76,Abilene,US,169885,1.9424905082850163,0.706360184830915,0.4120434411513671,1.294993672190011,0.4709067898872767,7.299055243252788
77,Kalamazoo,US,336919,4.184982147044245,1.4246747734618705,0.7123373867309353,1.840204915721583,0.5342530400482015,5.876783440530216
78,Wichita,US,643764,2.5009164849230463,0.2640719269794521,0.2640719269794521,0.932018565809831,0.3262064980334408,5.592111394858986
79,Fresno,US,976874,2.0268734760061173,0.9213061254573262,0.3378122460010196,2.11900408855185,0.327575511273716,6.387722469837461
80,Modesto,US,539425,3.8930342494322656,2.1875144830143207,0.48199471659637577,4.375028966028641,0.8156833665477128,11.753255781619316
81,Killeen,US,434470,2.0254563030819157,0.6444633691624277,0.23016548898658135,1.4960756784127789,0.27619858678389764,5.454922088981979
82,Cape Girardeau,US,97631,4.8140447194026486,1.0242648339154572,0.30727945017463715,0.8194118671323658,0.20485296678309145,5.73588306992656
83,Cumberland,US,98752,79.79585223590408,23.493195074530135,14.58198314970836,83.23882047958521,11.645333765392092,80.70722618276085
84,East Stroudsburg,US,165226,12.044109280621694,2.3604033263529955,0.9078474332126906,5.5076077614903225,1.0894169198552286,13.43614201154782
85,Los Angeles,US,10170868,3.0479207870950638,1.7697604570229404,1.1798403046819603,5.9975215487999645,0.8927458305426833,7.472321929652415
